Key,English

goGameWorld,[FF4F00]Select 'Aircraft  (biome)'[-]
goLootRespawnDays,Loot Respawn-[FF4F00]Select 7 Days '[-]

adminQuestTicketDesc,"Read, accept, and complete to receive next quest.\n\nUsed for quest progression."

resourcePaper,"Classified Document" 
resourcePaperDesc,"EAM\n FROM: USLANTFLT\n TO: USS SAN PAULO\n MESSAGE AS FOLLOWS:\n Movement to G.S. ATL-001 to acquire TP for bunghole (and other ""supplies"")"

resourceCoalDesc,"A great fuel source and a core ingredient for gunpowder.\n\nCan be made from wood in a campfire"
resourceAcidDesc,A resource used in crafting recipes.\n\nCan be crafted in beaker at a campfire or at the chemistry station.

resourceBatteryAcid,Bottle of Acid
resourceBatteryAcidDesc,A resource used in crafting recipes.\n\nCan be extracted from a car battery at the chemistry station.

resourceAnimalFat,"Fat"
resourceAnimalFatDesc,"Fat can be eaten raw or used in cooking or other crafting recipes."

drugAntibioticsDT,Antibiotics
drugAntibioticsDTDesc,Antibiotics can cure infections.\n\nCan be crafted in a beaker at a campfire or at the chemistry station.

perkGreaseMonkeyRank1Desc,Wheely good
perkGreaseMonkeyRank1LongDesc,Congratulations - you are now as smart as a primitive human!\n\nCraft wheels 33% cheaper.\n\nRepair kits are 10 percent more effective on vehicles.

perkGreaseMonkeyRank2Desc,Oil be back
perkGreaseMonkeyRank2LongDesc,"Not quite a fully-fledged grease monkey, but at least it's a start.\n\nRepair kits are 20 percent more effective on vehicles."

perkGreaseMonkeyRank3Desc,Life's a gas
perkGreaseMonkeyRank3LongDesc,Now you're starting to know your way around a toolbox!\n\nRepair kits are 30 percent more effective on vehicles.

perkGreaseMonkeyRank4Desc,Not very basic
perkGreaseMonkeyRank4LongDesc,"Your mechanical prowess is that of a professional pit crew!\n\nRepair kits are 40 percent more effective on vehicles."

perkGreaseMonkeyRank5Desc,At last!!
perkGreaseMonkeyRank5LongDesc,"You're a full-on aeronautical MacGyver.\nCraft AH-64 parts 33% cheaper.\n\nRepair kits are 50 percent more effective on vehicles."

vehiclesT1,Tier 1: Wheels
vehiclesT2,Tier 2: Oil
vehiclesT3,Tier 3: Gas Cans
vehiclesT4,Tier 4: Acid
vehiclesT5,Tier 5: Flight

ApacheS4,Starter Helicopter
ApacheS3,Canopy
ApacheS2,Cockpit
ApacheS1,Accessories
