Key,English

weapHCwM,Hell's Comin' with Me
weapHCwMDesc,"Zeds have declared WAR, time to wipe entire buildings from the face of the work and kick some A$$!!! [FF0000]WARNING: [-] Salvo mode may break or crash the game."

ammoPlanetCracker,Planet Cracker
ammoPlanetCrackerDesc,"[3333FF]Incomming Transmission: 'New rocket ammo type discovered. Test firing......' [FF0000] ERROR: Transmission Unexpected Termination.  [FFFFFF]*Holy Mother of All Rockets!!!*"

weapScuttleCharge,Scuttle Charge
weapScuttleChargeDesc,"Make a HOLE!!! Make a HOLE!!! Note: fuel barrels give it extra *spice* :)"

ammoCanoWhoop-Ass,Can 'o Whoop-Ass
ammoCanoWhoop-AssDesc,"*Kracks knucles* 1 JUMBO sized Can 'o Whoop-Ass comin' right up!"
